Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,ActualElapsedTime,CRSElapsedTime,ArrDelay,DepDelay,Origin,Dest,Distance
1987,10,14,3,741,730,912,849,PS,1451,91,79,23,11,SAN,SFO,447
1987,10,15,4,729,730,903,849,PS,1451,94,79,14,-1,SAN,SFO,447
1987,10,17,6,741,730,918,849,PS,1451,97,79,29,11,SAN,SFO,447
1987,10,18,7,729,730,847,849,PS,1451,78,79,-2,-1,SAN,SFO,447
1987,10,19,1,749,730,922,849,PS,1451,93,79,33,19,SAN,SFO,447
1987,10,21,3,728,730,848,849,PS,1451,80,79,-1,-2,SAN,SFO,447
1987,10,22,4,728,730,852,849,PS,1451,84,79,3,-2,SAN,SFO,447
1987,10,23,5,731,730,902,849,PS,1451,91,79,13,1,SAN,SFO,447
1987,10,24,6,744,730,908,849,PS,1451,84,79,19,14,SAN,SFO,447
1987,10,25,7,729,730,851,849,PS,1451,82,79,2,-1,SAN,SFO,447
1987,10,26,1,735,730,904,849,PS,1451,89,79,15,5,SAN,SFO,447
1987,10,28,3,741,725,919,855,PS,1451,98,90,24,16,SAN,SFO,447
1987,10,29,4,742,725,906,855,PS,1451,84,90,11,17,SAN,SFO,447
1987,10,31,6,726,725,848,855,PS,1451,82,90,-7,1,SAN,SFO,447
1987,10,1,4,936,915,1035,1001,PS,1451,59,46,34,21,SFO,RNO,192
1987,10,2,5,918,915,1017,1001,PS,1451,59,46,16,3,SFO,RNO,192
1987,10,3,6,928,915,1037,1001,PS,1451,69,46,36,13,SFO,RNO,192
1987,10,4,7,914,915,1003,1001,PS,1451,49,46,2,-1,SFO,RNO,192
1987,10,5,1,1042,915,1129,1001,PS,1451,47,46,88,87,SFO,RNO,192
1987,10,6,2,934,915,1024,1001,PS,1451,50,46,23,19,SFO,RNO,192
1987,10,7,3,946,915,1037,1001,PS,1451,51,46,36,31,SFO,RNO,192
1987,10,8,4,932,915,1033,1001,PS,1451,61,46,32,17,SFO,RNO,192
1987,10,9,5,947,915,1036,1001,PS,1451,49,46,35,32,SFO,RNO,192
1987,10,10,6,915,915,1022,1001,PS,1451,67,46,21,0,SFO,RNO,192
1987,10,11,7,916,915,1006,1001,PS,1451,50,46,5,1,SFO,RNO,192
1987,10,12,1,944,915,1027,1001,PS,1451,43,46,26,29,SFO,RNO,192
1987,10,13,2,941,915,1036,1001,PS,1451,55,46,35,26,SFO,RNO,192
1987,10,14,3,930,915,1029,1001,PS,1451,59,46,28,15,SFO,RNO,192
1987,10,15,4,920,915,1023,1001,PS,1451,63,46,22,5,SFO,RNO,192
1987,10,17,6,1009,915,1104,1001,PS,1451,55,46,63,54,SFO,RNO,192
1987,10,18,7,915,915,1008,1001,PS,1451,53,46,7,0,SFO,RNO,192
1987,10,19,1,940,915,1032,1001,PS,1451,52,46,31,25,SFO,RNO,192
1987,10,21,3,913,915,1003,1001,PS,1451,50,46,2,-2,SFO,RNO,192
1987,10,22,4,915,915,1017,1001,PS,1451,62,46,16,0,SFO,RNO,192
1987,10,23,5,927,915,1022,1001,PS,1451,55,46,21,12,SFO,RNO,192
1987,10,24,6,929,915,1052,1001,PS,1451,83,46,51,14,SFO,RNO,192
1987,10,25,7,914,915,1011,1001,PS,1451,57,46,10,-1,SFO,RNO,192
1987,10,26,1,917,915,1023,1001,PS,1451,66,46,22,2,SFO,RNO,192
1987,10,27,2,916,915,1014,1001,PS,1451,58,46,13,1,SFO,RNO,192
1987,10,28,3,941,925,1106,1015,PS,1451,85,50,51,16,SFO,RNO,192
1987,10,29,4,940,925,1044,1015,PS,1451,64,50,29,15,SFO,RNO,192
1987,10,30,5,1009,925,1105,1015,PS,1451,56,50,50,44,SFO,RNO,192
1987,10,31,6,945,925,1040,1015,PS,1451,55,50,25,20,SFO,RNO,192
1987,10,1,4,1520,1505,1624,1608,PS,1453,64,63,16,15,BUR,OAK,325
1987,10,2,5,1508,1505,1615,1608,PS,1453,67,63,7,3,BUR,OAK,325
1987,10,4,7,1526,1505,1625,1608,PS,1453,59,63,17,21,BUR,OAK,325
1987,10,5,1,1504,1505,1602,1608,PS,1453,58,63,-6,-1,BUR,OAK,325
1987,10,6,2,1505,1505,1607,1608,PS,1453,62,63,-1,0,BUR,OAK,325
1987,10,7,3,1512,1505,1614,1608,PS,1453,62,63,6,7,BUR,OAK,325
1987,10,8,4,1528,1505,1636,1608,PS,1453,68,63,28,23,BUR,OAK,325
1987,10,9,5,1606,1505,1708,1608,PS,1453,62,63,60,61,BUR,OAK,325
1987,10,11,7,1505,1505,1602,1608,PS,1453,57,63,-6,0,BUR,OAK,325
1987,10,12,1,NA,1505,NA,1608,PS,1453,NA,63,NA,NA,BUR,OAK,325
1987,10,13,2,1533,1505,1640,1608,PS,1453,67,63,32,28,BUR,OAK,325
1987,10,14,3,1528,1505,1639,1608,PS,1453,71,63,31,23,BUR,OAK,325
1987,10,15,4,1543,1505,1645,1608,PS,1453,62,63,37,38,BUR,OAK,325
1987,10,16,5,1521,1505,1626,1608,PS,1453,65,63,18,16,BUR,OAK,325
1987,10,19,1,1513,1505,1617,1608,PS,1453,64,63,9,8,BUR,OAK,325
1987,10,20,2,1551,1505,1646,1608,PS,1453,55,63,38,46,BUR,OAK,325
1987,10,21,3,1504,1505,1620,1608,PS,1453,76,63,12,-1,BUR,OAK,325
1987,10,22,4,1518,1505,1623,1608,PS,1453,65,63,15,13,BUR,OAK,325
1987,10,23,5,1558,1505,1717,1608,PS,1453,79,63,69,53,BUR,OAK,325
1987,10,25,7,1531,1505,1635,1608,PS,1453,64,63,27,26,BUR,OAK,325
1987,10,26,1,1508,1505,1614,1608,PS,1453,66,63,6,3,BUR,OAK,325
